Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
3 Chhakay, 1997-08-01, Family drama,"Kashish, Asif Khan, Babra Raj, Tariq Shah",Inayat Ullah Khan,Fida M. Khan,?,Jahanzeb,?,?,?,
Dream Girl, 1997-08-01, Family drama,"Meera, Saud, Laila, Nirma, Kashif",Sangeeta,Raza Ali Rizvi,?,Wajid Ali Nashaad,?,?,?,
Sher Bano, 1997-08-14, Family drama,"Suneeta Khan, Badar Munir, Nayab, Anchal, Inayat Khan, Nemat Sarhadi",Parvez Khan,Fozia Malik,?,S. Sunny,?,?,?,
Raja Pakistani, 1997-08-14, Family drama,"Reema, Babar Ali, Nirma, Jan Rembo, Nadeem",Syed Noor,Sheikh Aslam,?,M. Arshad,?,?,?,
Himmat, 1997-08-22, Family drama,"Shahid Malik, Siddiq, Babar Sultan, Malik Anokha, Saqi",Samad Sheikh,Muzafar Hussain,?,Lal Mohammad Iqbal,?,?,?,
Anchal, 1997-08-22, Family drama,"Resham, Arbaz Khan, Sheri Malik, Nadeem",Altaf Hussain,Sarwar Chodhary,?,M. Ashraf,?,?,?,
Akhpal Hakumat, 1997-09-05, Family drama,"Saba, Asif Khan, Tariq Shah, Asif Khan",Inayat Ullah Khan,Aziz Jahangir Khani,?,S. Sunny,?,?,?,
Yes Boss, 1997-09-05, Family drama,"Meera, Javed Sheikh, Resham, Saleem Sheikh, Ismail Tara",Javed Sheikh,Javed Sheikh,?,Amjad Bobby,?,?,?,
Sharafat, 1997-09-12, Family drama,"Saima, Saud, Resham, Meera, Rembo, Humayun",Altaf Hussain,Arif Chodhary,?,M. Ashraf,?,?,?,
Jeet, 1997-09-19, Family drama,"Meera, Saud, Rembo, Nargis, Tariq Shah, Sana",Sangeeta,Arshad Ali Wraich,Nasir Adeeb,Tafoo,Khawaja Parvez,"Humaira Channa, Shazia Manzoor, Tehsin Javed",Riaz Butt,
Jaggat Singh Jagga, 1997-09-28, Family drama,"Saima, Iqbal Gondal, Zarqa, Nayab, Humayun Qureshi",Arshad Mirza,Shehbaz Haidar,?,Mushtaq Ali,?,?,?,
Takkar, 1997-09-29, Action film,"Saima, Sultan Rahi, Mustafa Qureshi, Saima, Ghulam Mohayuddin",M. Aslam,M. Jahangir Khan,?,Zulfiqar Ali,?,?,?,
Da Qaum Dushman, 1997-10-03, Action film,"Suneeta, Tariq Shah, Kasish, Asif Khan, Nemat Sarhadi",Syed Ali Khan,Ghulam Murtaza Khan,?,Jahanzeb,?,?,?,
Jan Jan Pakistan, 1997-10-03, Patriotic film,"Sahiba, Rembo, Sara, Ismail Tara, Sohail Khan",Khalid Hussain,Nasarullah Qureshi,?,M. Arshad,?,?,?,
Fareb, 1997-10-10, Family drama,"Laila, Shaan, Saud, Neeli, Andleeb, Meera, Rembo",Masood Butt,M. Afzal Butt,?,M. Arshad,?,?,?,
Sarpanj, 1997-10-17, Family drama,"Saba Shaheen, Badar Munir, Asif Khan, Babra Raj, Umar Daraz",Qaisar Sanober,Siraj Khan,?,Jahanzeb,?,?,?,
Dil Tera Aashiq, 1997-10-17, Family drama,"Neeli, Mohsin, Khushboo, Naghma, Shafqat Cheema",Nasir Sindhu,Rana Riaz Ahmad,?,Mushtaq Ali,?,?,?,
Mohabbat Hay Kya Cheez, 1997-10-24, Romantic film,"Resham, Shaan, Andleeb, Nadeem, Hamayun Qureshi",Altaf Hussain,S.B. Hussain,?,Amjad Bobby,?,?,?,
Kochai, 1997-10-31, Family drama,"Babra Raj, Jameel Babar, Nayab, Amrozia, Umar Daraz, Liaqat Major, Hazrat Noor, Khurshid Jahan, Habiba Khan, Nadir Khan, Bakhtiar Tanga",Saleem Mohammad Chhotu,Jalaluddin Khattak,Saleem Mohammad Chhotu,Jahanzeb Noshervi,Ameer Ghulam Sadiq,"Gulnar Begum, Mehjabin Qazalbash, Khayal Mohammad, Vigma",Rasheed Hussain,
Dil Walay, 1997-10-31, Family drama,"Saima, Javed Sheikh, Ghulam Mohayuddin, Nargis, Rembo",Akram Khan,Akram Khan,?,Tafoo,?,?,?,
Deevanay Teray Pyar Kay, 1997-11-07, Romantic film,"Jia Ali, Moamar Rana, Nadeem, Deeba, Suahil Khan",Syed Noor,S.A. Gul,Syed Noor,Amjad Bobby,http://mazhar.dk/film/db/details.php?pid=3407,"Shazia Manzoor, Tehsin Javed, Waris Baig",?,
Barsat Ki Raat, 1997-11-14, Family drama,"Meera, Shaan, Jan Rembo, Saleem Sheikh, Sahiba, Naghma",Anjum Parvez,Afzal Awan,?,M. Sarwar,?,?,?,
Dil Bhi Tera Ham Bhi Teray, 1997-11-21, Romantic film,"Meera, Saud, Mohsin Khan, Sahiba, Shafqat Cheema",Saeed Rizvi,Masood Rizvi,?,Wajid Ali Nashaad,?,?,?,
Qarz, 1997-11-21, Family drama,"Nirma, Babar Ali, Ghulam Mohayuddin, Iram Thir, Javed Sheikh",Usman Pirzada,Khalilurrehman Qamar,?,M. Feroz,?,?,?,
Dever Deevanay, 1997-11-28, Family drama,"Reema, Babar Ali, Jan Rembo, Izhar Qazi, Sahiba, Nargis",Parvez Kaleem,Afzal Ahmad,?,Wajid Ali Nashaad,?,?,?,
Leoni Pashto, 1997-12-05, Family drama,"Kashish, Asif Khan, Tariq, Suneeta, Kamran",Saeed Ali Khan,Ghulam Murtaza Khan,?,Jalal Sarhadi,?,?,?,
Sukhan, 1997-12-05, Action film,"Saima, Sultan Rahi, Rembo, Sahiba, Madiha Shah",Zain,M. Ajaib,?,Wajahat Attray,?,?,?,
Licence, 1997-12-19, Family drama,"Kashish, Asif Khan, Tariq Shah, Nemat Sarhadi",Inayat Ullah Khan,Ghulam Murtaza Khan,?,Jalal Sarhadi,?,?,?,
Kalay Naag, 1997-12-19, Family drama,"Saima, Izhar Qazi, Sana, Mohsin, Shafqat",Saleem Qazi,Abdulghaffar Kamboh,?,Wajahat Attray,?,?,?,
Ayyash, 1998-01-30, Family drama,"Saba, Badar Munir, Asif Khan. Ali Muslim, Nayab, Bena Sehar",Qaisar Sanober,Aziz Jahangir Khani,?,S. Sunny,?,?,?,
Darshal, 1998-01-30, Family drama,"Durdana Rehman, Badar Munir, Asif Khan, Saba Shaheen, Nemat Sarhadi",Darwesh,M. Hussain Sher Ali,?,S. Sunny,?,?,?,
Lordabala, 1998-01-30, Family drama,"Durdana Rehman, Badar Munir, Nemat Sarhadi",Darwesh,Sardar Khan,?,Fazal Rabbi Pardesi,?,?,?,
Insaf ho to Aisa, 1998-01-30, Action film,"Reema, Shaan, Babar Ali, Jan Rambo, Sahiba, Saud, Neeli, Afzaal Ahmad, Bahar, Naghma, Sardar Kamal, Altaf Khan, Humayun Qureshi, Abid Ali, Majeed Zarif",Masood Butt,Chodhary Merajuddin,Nasir Adeeb,Tafoo,Saeed Gilani,"Noorjahan, Shazia Manzoor",Masood Butt,
Muhafiz, 1998-01-30, Family drama,"Saima, Saud, Jana Malik, Nadeem, Shahid, Shafqat",Syed Noor,Suhail Butt,?,M. Arshad,?,?,?,
Very Good Dunya Very Bad Log, 1998-01-30, Family drama,"Reshan, Shaan, Fakhar Alam, Nargis, Neeli, Kavi, Latif Kapadia, Zaheen Tahira",S. Suleman,Nadim Mandvi Wala,Ali Sufyan Afaqi,Nisar Bazmi,?,?,?,
Dupatta, 1998-02-27, Family drama,"Nargis, Ghulam Mohayuddin, Arif Lohar, Babbu Baral, Mustafa Qureshi",Javed Hassan,M. Saleem Chodhary,?,Wajahat Attray,?,?,?,
Pardesi, 1998-02-27, Family drama,"Saima, Shaan, Saud, Arif Lohar, Nargis, Bahar, Humayun",Parvez Rana,Nasir Babar Chodhary,?,Tafoo,?,?,?,
Kabhi Haan Kabhi Naa, 1998-02-27, Family drama,"Meera, Shaan, Saud, Arbaz, Ismail Tara, Resham, Sahiba",Shamim Ara,Jamshed-Sajjad,?,Amjad Bobby,?,?,?,
Zewar, 1998-03-06, Family drama,"Reema, Babar Ali, Shahid, Jan Rembo, Sahiba, Naghma,",Syed Noor,Shafiq Butt,?,Wajid Ali Nashaad,Syed Noor,?,?,
Dakanri Karkha, 1998-03-13, Family drama,"Saba, Asif Khan, Shahid Khan, Shahzadi, Anchal, Beena Sehar",Saeed Ali Khan,M. Mohsin Butt,?,Fazal Rabbi Pardesi,?,?,?,
Ehsas, 1998-03-13, Family drama,"Meera, Shaan, Javed Sheikh, Laila, Saleem Sheikh, Saira Khan, Haidar Sultan",Sangeeta,"I.H. Shah, Jameel Gishkori",Iqbal Rizvi,M. Arshad,?,"Shazia Manzoor, Tehsin Javed, Arshad Mehmood",ttuB zaiR,Background music: Wajid Ali Nashad
Tu Meri Main Tera, 1998-03-20, Family drama,"Reema, Shaan, Jan Rembo, Naghma, Erum Tahir, Tariq, Shafqat",Shokat Sharif,Mazhar Butt,?,Wajahat Attray,?,?,?,
Gataba Zamavi, 1998-04-08, Family drama,"Shehnaz Khan, Badar Munir, Shahid Khan, Babra Raj, Durdana Rehman, Nemat Sarhadi",Inayat Ullah Khan,Sardar Khan,?,Fazal Rabbi Pardesi,?,?,?,
Marg Da Shaitan, 1998-04-08, Action film,"Kashish, Badar Munir, Kamran, Zumurrud, Nagina, Nemat Sarhadi",Saeed Ali Khan,Ghulam Murtaza Malik,?,Jalal Sarhadi,?,?,?,
Mehbooba, 1998-04-08, Family drama,"Suneeta Khan, Asif Khan, Inayat Seth, Kamran, Zumurrud Khan, Humayun Qureshi",Saeed Ali Khan,M. Saleem Khan,?,Jahanzeb,?,?,?,
Waris, 1998-04-08, Family drama,"Saima, Shaan, Moamar Rana, Reema, Saud, Afzaal Ahmad, Shafqat Cheema, Sardar Kamal, Afshan",Iqbal Kashmiri,Haji Chodhary Meraj,"Muhayuddin Butt, (dialogues: Agha Hassan Imtisal)",Tafoo,Saeed Gilani,"Shazia Manzoor, Naseebo Lal",Riaz Butt,
Nakhra Gori da, 1998-04-08, Family drama,"Reema, Babar Ali, Jia Ali, Rangeela, Ismail Tara, Shafqat Cheema, Javed Sheikh, Azhar Rangeela, Abdullah Chilli,",Iqbal Kashmiri,Haji Abdur Rashid,Jafar Arsh,M. Ashraf,Saeed Gilani,"Humaira Channa, Azra Jahan, Farooq Shad",Tehsin Khan,Background music: Wajid Ali Nashad
Jisay day Moula, 1998-04-08, Family drama,"Reema, Babar Ali, Saud, Babar Ali, Saood, Rembo, Nargis, Bahar, Momar Rana",Masood Butt,Yasin Warak,?,M. Ashraf,?,?,?,
Zor, 1998-04-08, Family drama,"Saima, Reema, Babar, Saud, Moamar, Nadeem",Syed Noor,M. Aslam-M. Akram,?,Tafoo,?,?,?,
Deevaren, 1998-05-22, Family drama,"Saima, Reema, Babar, Deeba, Nadeem, Shafqat Chodhary.",Syed Noor,Syed Noor,?,Amjad Bobby,?,?,?,
Dil Sanbhala Na Jaye, 1998-05-29, Family drama,"Reema, Babar Ali, Saima, Saood, Saleem Sheikh, Ali Ejaz, Shafqat",Iqbal Kashmiri,Faisal Bukhari,?,Wajahat Attray,?,?,?,
Azari, 1998-06-05, Family drama,"Nazor, Asif Khan, Babra Raj, Jameel Babar, Liaqat, Nemat Sarhadi",Naseem Khan,Naseem Khan,?,Ali Haidar,?,?,?,
Nikah, 1998-06-05, Romantic & musical film,"Reema, Shaan, Ahsan Khan, Nirma, Goshi Khan, Laila, Abid Khan, Riffat Tajalli, Nazo, Tamanna, Mishi Khan, Deeba",Sangeeta,Shezad Rafiq,Agha Hassan Imtesal,M. Arshad,"Saeed Geelani, Riaz-ur-Rehman Saghar, Abrar-ul-Haq","Shazia Manzoor, Saira Naseem, Akhlaq Ahmad, Waris Baig, Abrar-ul-Haq",?,
Ziddi, 1998-06-12, Family drama,"Saima, Saud, Babar Ali, Shahida Mini, Reema, Madeeha, Naghma, Afzal",Hasnain,Arif Chodhary,?,M. Ashraf,?,?,?,
Dunya Dekhay Gi, 1998-06-19, Family drama,"Resham, Shaan, Moamar Rana, Rembo, Saima, Nargis, Afzal, Naghma",Nasir Adeeb,M. Saleem Chodhary,?,M. Ashraf,?,?,?,
Khalnaik, 1998-06-26, Family drama,"Neeli, Javed Sheikh, Jan Rembo, Ghulam Mohayuddin, Nargis",Sarfaraz Hussain,Ashiq Hussain,?,Zulfiqar Ali,?,?,?,
Dunya Bayad Sathi, 1998-07-10, Family drama,"Suneeta Khan, Badar Munir, Tariq Shah, Shenaz, Nemat Sarhadi",Irfan Shah,Tariq Shah,?,Jalal Sarhadi,?,?,?,
Harjai, 1998-07-10, Family drama,"Meera, Babar, Neeli, Rembo, Iram Tahir, Abid Ali",Sangeeta,Zulfiqar Ali Mana,?,Zulfiqar Ali,?,?,?,
Patakha, 1998-07-17, Family drama,"Saba, Asif Khan, Shahid Khan, Tariq, Shenaz, Shehzadi",Tahir Khan,Aziz Jahangir Khani,?,S. Sunny/Jahanzeb,?,?,?,
Too Chor main Sipahi, 1998-07-17, Action film,"Sana, Rembo, Mohsin, Meera, Arbaz Khan, Nargis, Shafqat Cheema",Agha Riaz Gul,Agha Riaz Gul,?,M. Ashraf,?,?,?,
King Maker, 1998-07-31, Family drama,"Reema, Shaan, Saud, Saima, Rembo, Izhar Qazi, Bahar",Parvez Rana,Mohammad Javed Butt,Mohammad Kemal Pasha,Tafoo,"Khawaja Parvez, Saeed Gilani","Humaira Channa, Shazia Manzoor",Saleem Butt,
Kahin Pyar Na Ho Jaye, 1998-08-07, Romantic film,"Resham, Shaan, Saleem, Meera, Shan, Abid Ali, Ismail Tara, Asif Khan",Javed Sheikh,Shamim Khursheed,?,Amjad Bobby,?,?,?,
"Sahib, Bibi Aur Tawaif", 1998-08-14, Family drama,"Chandni, Javed Sheikh, Jan Rembo, Sahiba, Moamer Sharif, Gulab Chandio",Sangeeta,Shah Jehan Khan,?,Zulfiqar Ali,?,?,?,
Chaskedar, 1998-08-28, Family drama,"Suneeta, Ajab Gul, Saba Shaheen, Humayun Qureshi, Sherazi",Jalaluddin Khattak,Jalaluddin Khattak,?,Jahanzeb,?,?,?,
Dupatta Jall Raha Hay, 1998-08-28, Family drama,"Saima, Arbaz Khan, Resham, Nadeem, Reena Siddiqi, Suhail Khan, Nazo, Aslam Latar, Tamanna, Ali Ahmad, Irfan Khoost, Asif Khan",Syed Noor,Syed Noor,Rukhsana Noor,M. Arshad,"Riaz-ur-Reham Saghar, Saeed Geelani, Rukhsana Noor",Arshad Mehomood,?,
Zoniye, 1998-09-04, Family drama,"Sehnaz, Badar Munir, Shahid Khan, Gul Rana, Nemat Sarhadi",Darwesh,Sardar Khan,?,Fazal Rabbi Pardesi,?,?,?,
Suhag, 1998-09-11, Family drama,"Saima, Yousuf Khan Khan, Sana, Ghulam Mohayuddin, Haidar Sultan, Bahar",Rashid Malik,Mazhar Iqbal,?,M. Ashraf,?,?,?,
Dachar Goghal, 1998-09-18, Family drama,"Suneeta Khan, Asif Khan, Babra Raj, Kashish, Kamran, Beena Sehar",Inayat Ullah Khan,Sardar Khan,?,Jalal Sarhadi,?,?,?,
Nasha Da Zavaney, 1998-09-25, Action film,"Saba, Badar Munir, Asif Khan, Suneeta, Zumurrud, Nemat Sarhadi",Nawaz Khan,Ghulam Murtaza Khan,?,Jahanzeb,?,?,?,
Dulha Le Kay Jaun Gi, 1998-09-25, Family drama,"Reema, Babar Ali, Ghulam Mohayuddin, Rembo, Nadia, Naghma, Shafqat",Altaf Hussain,Javed Sadiq,?,M. Arshad,?,?,?,
Hathiara, 1998-09-28, Family drama,"Saima, Azam Jahangir Khan, Neeli, Ghulam Mohayuddin, Rembo, Nargis, Azhar Qazi",Masood Butt,Achchi Khan,?,M. Ashraf,?,?,?,
Sharafat Na Manam, 1998-10-23, Family drama,"Saba, Asif Khan, Tariq Shah, Zumurrud, Nemat Sarhadi",Nawaz Khan,Adnan Khan,?,S. Sunny,?,?,?,
2 Boond Pani, 1998-10-23, Family drama,"Resham, Shaan, Saud, Saima, Shan, Riffat, Mohsin Gilani",Sangeeta,Syed Tayyab Rizvi,?,Wajid Ali Nashaad,?,?,?,
Hasina Numbri Ashiq 10 Numbri, 1998-10-23, Family drama,"Meera, Shaan, Saud, Resham, Saleem Sheikh, Ismail Tara, Sheva",Iqbal Kashmiri,Mian Farzand Ali,?,Wajahat Attray,?,?,?,
Choorian, 1998-10-25, Family drama,"Saima, Moamar Rana, Nargis, Sana, Bahar, Naghma, Deeba, Sardar Kamal, Irfan Khoost, Abid Khan, Babur Butt, Adeeb, Shafqat Cheema",Syed Noor,Haji Faqir Mohammad,Rukhsana Noor,Zulfiqar Ali,"Rukhsana Noor, Ahmad Aqeel Rubi","Azra Jehan, Saira Naseem, Nusrat Fateh Ali Khan, Anwar Rafi, Ameer Ali, Sain Khawar Hussain","Naseeruddin, Akif Malik",Background music: M. Arshad
Asal-o-Kam Asal, 1998-10-30, Family drama,"Suneeta Khan, Badar Munir, Asif Khan, Saba, Malang Khan, Nemat Sarhadi",Qaisar Sanober,Malang Khan,?,S. Sunny,?,?,?,
Mohlat, 1998-11-13, Family drama,"Resham, Moamar Rana, Nadeem, Javed Sheikh",Iqbal Kashmiri,Khalid Feroz,?,Wajid Ali Nashaad,?,?,?,
Khatarnak Haseena, 1998-11-16, Action film,"Sabeeta, Sheeva, Nautan, Javed Sheikh, Asif Khan, Mustafa Qureshi, Chandni, Tariq Shah, Adeeb",Iqbal Akhtar,"Ghaffar Danawala, Basheer Danawala","Jalil Afghani (screenplay, dialog: Basheer Niaz)",M. Ashraf,?,?,M. Ayub,
Sahib Jee, 1998-11-20, Family drama,"Reema, Nadeem, Deeba, Javaid Sheikh, Nargis, Babar, Hina Shaheen, Jan, Shafqat Chodhary",M.A. Rasheed,Sheikh Afzal Ahmad,?,M. Ashraf,?,?,?,
Doli Saja Kay Rakhna, 1998-11-27, Family drama,"Reema, Shaan, Jan Rembo, Batan Farooqi, Bahar, Abid Khan",Aslam Dar,Raheel Dar,?,Rafiq Ahmad Najaf,?,?,?,
Aish-o-Ishrat, 1999-01-19, Family drama,"Saba, Badar Munir, Asif Khan, Suneeta Khan, Nemat Sarhadi",Saba Shaheen,Aziz Jahangir Khani,?,S.T. Sunny,?,?,?,
Da Pakhton Leone, 1999-01-19, Family drama,"Babra Raj, Asif Khan, Liaqat Major, Nemat Sarhadi",Irfan Syed,Hazrat Noor,?,Jahanzeb,?,?,?,
Shabna Bangri Bat Sheh, 1999-01-19, Family drama,"Suneeta Khan, Badar Munir, Shahid Khan, Nemat Sarhadi",Inayat Ullah Khan,Sardar Khan,?,Fazal Rabbi Pardesi,?,?,?,
Sorpezwan, 1999-01-19, Family drama,"Shehnaz Khan, Badar Munir, Durdana Rehman, Shahid Khan, Babra Raj",Inayat Ullah Khan,Sardar Khan,?,Fazal Rabbi Pardesi,?,?,?,
Guns and Roses, 1999-01-19, Action film,"Meera, Shaan, Faisal, Resham, Saira Khan, Farooq Zamir, Javed Sheikh",Shaan,Tanvir Fatima,?,M. Irshad,?,?,?,
Koela, 1999-01-19, Family drama,"Saima, Shaan, Moamar Rana, Resham, Naghma, Bahar, Shafqat Cheema",Masood Butt,Raza Sharif Samra,?,M. Arshad,?,?,?,
Desan Da Raja, 1999-02-12, Action film,"Saima, Shaan, Jan Rembo, Sana, Bahar, Humayun Qureshi, Cheema",Parvez Rana,M. Sarwar/M.Saleem,?,Tafoo,?,?,?,
Chupkay Chupkay, 1999-02-19, Family drama,"Resham, Moamar Rana, Ismail Tara, Zeba Shehnaz, Bahar, Shafqat Cheema, Shamim Ara, Shaikl Siddiqi, Nisar Butt, (Guests: Javed Shiekh, Ghulam Mohayuddin, Ishrat Chodhary, Mustafa Qureshi, Badar Miandad Qawwal)",Shamim Ara,S.A. Sheikh,Dabeer-ul-Hassan (also co-producer),Amjad Bobby,Khawaja Parvez,"Humaira Channa, Shazia Manzoor, Arshad Mehmood, Tehsin Javed, Badar Miandad Qawwal","Faisal Bukhari, Farooq Butt",
Inteha, 1999-02-26, Family drama,"Meera, Hamyun Saeed, Resham, Nadeem, Zeeshan Sikandar, Arshad Mehmood",Samina Pirzada Pirzada,Sameena Pirzada,Dennis Issaq,Amjad Bobby,Riaz-ur-Rehman Saghar,"Shazia Manzoor, Fariha Parvez, A. Nayyar, Waris Baig",?,
Bad Shakkal, 1999-03-29, Family drama,"Shehnaz Khan, Badar Munir, Asif Khan, Liaqat Major, Nemat Sarhadi",Shehnaz Begum,Imran Khan,?,Jahanzeb,?,?,?,
Daleonai Josh, 1999-03-29, Family drama,"Roya Khan, Badar Munir, Asif Khan, Nemat Sarhadi",Nasir Raza Khan,Malik Ghulam Murtaza,?,Jahanzeb,?,?,?,
Darre Leoneyi, 1999-03-29, Family drama,"Saba, Asif Khan, Tariq Shah, Asif Khan, Babra Raj, Liaqat",Amrozia,Haji Tahir Ilyas Kashmiri,?,S.T. Sunny,?,?,?,
Gul Frazgayi, 1999-03-29, Family drama,"Shehnaz Khan, Badar Munir, Asif Khan, Babra Raj, Liaqat Major",Imran Khan,Shehnaz Begum,?,Jahanzeb,?,?,?,
Daku Rani, 1999-03-29, Action film,"Saima, Shaan, Moamar Rana, Jan Rembo, Nargis, Hamayun Qureshi, Tariq Shah",Syed Noor,M. Sarwar Jora,?,M. Arshad,Syed Noor,?,?,
Dushman Zinda Rahay, 1999-03-29, Action film,"Reema, Moamar Rana, Babar Ali, Nargis, Khushboo, Humayun, Asif Khan",Nasir Adeeb,M.Akram/M.Aslam,?,M. Ashraf,?,?,?,
Nikki Jei Haan, 1999-03-29, Family drama,"Saima, Moamar Rana, Reema, Saud, Laila, Sardar Kemal, Deeba, Shafqat Cheema, Arfan Khoost, Azhar Rangeela, Babbu Baral, Masood Akhtar, Afzal Khan",Masood Butt,S.A. Gul,"Babar Kashmiri (dialogs: Khalil-ur-Rehman Qamar, screenplay: Mohammad Kemal Pasha)",Zulfiqar Ali,"Ahmad Rahi, Ahmad Aqeel Rubi","Azra Jahan, Naseebo Lal, Saira Naseem, Ameer Ali",Masood Butt,
Chand Babu, 1999-03-29, Family drama,"Saima, Umar Sharif, Sahiba, Roop, Adnan Barny, Javed Sheikh",Umar Sharif,Umar Sharif,?,Wajahat Attray,?,?,?,
Sarah Dolayi, 1999-04-30, Family drama,"Suneeta Khan, Asif Khan, Shehnaz, Liaqat Major, Nemat Sarhadi",Inayat Ullah Khan,Sardar Khan,?,Fazal Rabbi Pardesi,?,?,?,
Tamashbeen, 1999-04-30, Family drama,"Saba, Badar Munir, Asif Khan, Suneeta Khan",Darwesh,Imtiaz Sabri,?,S. Sunny,?,?,?,
Dekha Jaye Ga, 1999-04-30, Family drama,"Saima, Shaan, Moamar Rana, Resham, Rembo, Shafqat, Khushboo,",Nasir Adeeb,Safdar Malik,?,M. Ashraf,?,?,?,
Dunya Say Kya Darna, 1999-04-30, Family drama,"Saima, Javed Sheikh, Meera, Masud, Tamanna, Humayun, Izhar Qazi",Daud Butt,Dr. Munir Ahmad,?,Nazir Ali,?,?,?,
Dil Mein Chhupa Kay Rakhna, 1999-05-07, Family drama,"Saima, Shaan, Nirma, Jan Rembo, Nadeem, Shafqat",Imtiaz Qaisar,M. Sarfaraz,?,M. Ashraf,?,?,?,
Insaniyat Kay Qatil, 1999-05-21, Family drama,"Meera, Saud, Babar, Sana, Faisal Qureshi, Nargis, Bahar, Shafqat Cheema",Shahid Mehrban,M.Shabbir,?,Tafoo/M.Arshad,?,?,?,
Qaid, 1999-07-02, Family drama,"Zeba Bakhtiar, Saud, Saima, Moamer Rana, Bahar, Shafqat, Khalid Saleem Mota",Sangeeta,Naveed Akbar Butt,?,M. Arshad,?,?,?,
Sarkari Badmash, 1999-07-09, Action film,"Shehnaz, Tariq Shah, Suneeta Khan, Ajab Gul",Jalaluddin Khattak,Jalaluddin Khattak,?,Jahanzeb,?,?,?,
Ek Aur Love Story, 1999-07-09, Romantic film,"Nirma, Sajjad Ali, Saira, Saleem Sheikh, Qavi, Behroz, Rangeela",Sajjad Ali,Mushtaq Ali,?,Waqar Ali,?,?,?,
Satargaye Wa Ashna, 1999-07-16, Family drama,"Suneeta Khan, Badar Munir, Asif Khan, Babra Raj, Liaqat Major",Saeed Ali Khan,Fida M. Khan,?,Jahanzeb,?,?,?,
Kursi Aur Qanoon, 1999-07-16, Action film,"Saima, Shaan, Moamar Rana, Babar Ali, Reema, Nargis, Rembo, Afzal Ahmad",Masood Butt,Safdar Malik/Safdar Khan,?,M. Ashraf,?,?,?,
Ghaddaar, 1999-08-06, Family drama,"Khushboo, Faisal Rehman, Nirma, Faisal Qureshi, Humayun Qureshi, Shafqat",Anjum Islam,Syed Zegam Khan,?,M.Arshad/Nazir Ali,?,?,?,
Sarre Satargaye, 1999-08-13, Family drama,"Suneeta Khan, Asif Khan, Ajab Gul, Nemat Sarhadi, Tabinda",Qaisar Sanober,Liaqat Khan Turkai,?,S. Sunny,?,?,?,
Jannat Ki Talash, 1999-08-13, Fictional & historical film,"Resham, Shaan, Saud, Sana, Khushboo, Abid Ali, Shafqat Cheema",Hassan Askari,Younis Malik,?,Zulfiqar Ali,Parvez Kaleem,?,?,
Ik Pagal Si Larki, 1999-08-27, Family drama,"Reema, Moamar Rana, Khushboo, Rembo, Afzal Ahmad, Deeba, Irfan Khost",Altaf Hussain,Altaf Hussain,?,Aftab Ali Khan,?,?,?,
Mujhay Jeenay do, 1999-09-03, Family drama,"Javed Sheikh, Meera, Babur Ali, Sana, Ismail Tara, Nayyar Ejaz, Qaisar Mastana, Parvez Kaleem,",Javed Sheikh,Mian Farzand Ali (Lucky Irani Circus),Mohammad Parvez Kalim,Amjad Bobby,Riaz-ur-Reham Saghar,"Shazia Manzoor, Waris Baig",Waqar Bukhari,
Paranda, 1999-09-10, Family drama,"Nadia, Arbaz Khan, Durdana Rehman, Deedar, Sardar Kemal",Saeed Rana,Durdana Rehman,?,Zulfiqar Ali,?,?,?,
Virasat, 1999-09-10, Family drama,"Saima, Moamar Rana, Jan Rembo, Resham, Meera, Humayun Qureshi, Kanwal, Anwar Khan",Masood Butt,Chodhary Khadim Hussain,?,Tafoo,?,?,?,
Ishq Zinda Rahay Ga, 1999-10-08, Family drama,"Neeli, Shaan, Sahiba, Saud, Saima, Ghulam Mohayuddin, Nargis",Zulfiqar Ali,Mian Javed,?,Younis Malik,?,?,?,
Noukar, 1999-10-15, Family drama,"Reema, Saud, Saima, Rembo, Khushboo, Arbaz, Bahar",Hasnain,Arif Chodhary,?,M. Arshad,?,?,?,
Sangdil, 1999-10-22, Family drama,"Suneeta, Tariq Shah, Zahir Shah Shah, Umar Daraz",Saeed Ali Khan,Saleem Khan,?,S. Sunny,?,?,?,
Qismat, 1999-10-22, Family drama,"Saima, Moamar Rana, Reema, Ajab Gul, Afzal Ahmad, Rangeela",Sangeeta,Haji A. Rashid,?,M. Ashraf,?,?,?,
Dil To Pagal Hay, 1999-10-29, Family drama,"Reema, Shaan, Bahar, Afreen Baig, Ghulam Mohayuddin, Shabbir Jan",Sangeeta,M. Javed Qureshi,?,M. Arshad,?,?,?,
Jazba, 1999-10-29, Family drama,"Saima, Shaan, Saud, Resham, Afzal Ahmad, Deeba, Shahid",Hassan Askari,Chodhary Rehmat Ali,?,Amjad Bobby,?,?,?,
Pall 2 Pall, 1999-11-05, Family drama,"Meera, Saud, Moamar Rana, Resham, Afzal, Deeba, Nayyer Ejaz",Shamim Ara,Salman Karim Irfan,?,Nusrat Fateh Ali Khan,?,?,?,
Chohdrani, 1999-11-12, Family drama,"Saima, Shaan, Anjuman, Saud , Sabira, Shafqat Cheema",Hassan Askari,Zulfiqar Ali Mana,?,Zulfiqar Ali,?,?,?,
