Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Bohat Khoob, 1978-05-19, Family drama,"Najma, Shahid, Asiya, Tamanna, Najma Mehboob",Jan Mohammad,Jan Mohammad Jumman,?,Kemal Ahmad,?,Ahmad Rushdi,?,
"Lad, Pyar aur Beti", 1978-05-19, Family drama,"Sangeeta, Shahid, Ghulam Mohayuddin, Kaveeta, Chakram, Tamanna",Sangeeta,Azam J. Irani,?,Kemal Ahmad,?,"Mehnaz, Mehdi Hassan",?,
Insan Aur Sheitan, 1978-05-26, Family drama,"Najma, Waheed Murad, Shahid, Asif Khan, Nanha, Nasrullah, Nazli, Saiqa",Khalifa Saeed,Khalifa Nazir,?,Kemal Ahmad,?,Masood Rana,?,
Intekhab, 1978-06-02, Family drama,"Shabnam, Mohammad Ali, Ghulam Mohayuddin, Guddo, Khalid Saleem Mota, Tamanna, Masood Akhtar, Rashid, Tani, Atia Sharf, Munawar Saeed, Farzana, Ibrahim Nafees, Irfan Khoost, Jameel Fakhri, Badiuzzaman, Najma Mehboob, Hanif",Parvez Malik (also screenplay),"Ishaq Mirza, Parvez Malik","Masroor Anwar, (dialogues: Fyaz Hashmi)",Nisar Bazmi,Masroor Anwar,"Naheed Akhtar, Mehnaz, Shazia, Mehdi Hassan, Ghulam Abbas, Asad Amanat Ali",Sarwar Gul,
Sheeshay ka Ghar, 1978-06-02, Family drama,"Mumtaz, Shahid, Waheed Murad, Chakori, Rozina, Nanha, Afzaal Ahmad, Shahnawaz, Ishrat Chodhary, Aslam Parvez",Nazrul Islam,Ajmal Chodhary,Agha Hassan Imtisal,Master Abdullah,"Qateel Shafai, Taslim Fazli","Naheed Akhtar, Mehnaz, Mehdi Hassan, Asad Amanat Ali Khan",Babar Bilal,
Chal Wal, 1978-06-09, Action film,"Najma, Sultan Rahi, Musarrat Shaheen, Asif Khan, Chakori, Kemal, Nemat Sarhadi, Humayun Qureshi",Shaukat Yousuf,Sadiq Butt,?,M. Ashraf,?,?,?,
Guarantee, 1978-06-09, Family drama,"Asiya, Mustafa Qureshi, Chakori, Munawar Saeed, Kaifee (guest)",M. Farooq,Munir Malik,?,Tafoo,?,?,?,
Nazrana, 1978-06-09, Family drama,"Rani, Ghulam Mohayuddin, Waheed Murad, Neelo, Ali Ejaz, Bindia, Hanif, Nayyar Sultan & Nanha, Meena Daud, Tammana, Seema, Chakram,",Nazar Shabab,A. Hameed,?,M. Ashraf,Qateel Shifai,"Naheed Akhtar, Mehdi Hassan",?,
Aali Jah, 1978-06-16, Family drama,"Musarrat Shaheen, Mustafa Qureshi, Najma, Usman Pirzada, Bahar, Adeeb, Afzaal Ahmad, Asha Poslay, Irfan Khoost, Sheikh Iqbal, Ladla (Guests: Deeba, Nasrullah Butt, Humayun Qureshi)",M.A. Basheer,S. Aqeel Ahmad Gaba,Mohammad Kemal Pasha,Wajahat Attray,Saeed Gilani,"Mehnaz, Naheed Akhtar, Mehdi Hassan, Masood Rana",Nabi Ahmad,
Muthi Bhar Chawal, 1978-06-16, Family drama,"Sangeeta, Nadeem, Kaveeta, Ghulam Mohayuddin, Rahat Kazmi, Shehla Gill, Saqi, Najma Begum, Romana, Chakram, Irfan, Kamal Iranee, Irfan Khoost, Imdad Hussain",Sangeeta,Syed Tayab Rizvi,"Rajinder Singh Bedi, (screenplay, dialogues: Iqbal Rizvi)",Kemal Ahmad,"Taslim Fazli, Khawaja Parvez","Naheed Akhtar, Mehnaz, Masood Rana, Shoukat Ali",Ameer Ullah Khan,
